Date,Source Gas/Oil Price Name,Argent Gas/Oil Category,Argent Gas/Oil Price Name,Price EUR/mt
05/01/2022,Palm oil mill effluent (POME) oil RED ARA cif_midpoint,Feedstocks,POME cif ARA,1110.817244
05/01/2022,Palm oil mill effluent (POME) oil RED Malaysia/Indonesia fob_midpoint,,,1120
05/01/2022,Rapeseed oil fob Dutch Mill RSO_midpoint,Feedstocks,RSO fob Dutch Mill,1700
05/01/2022,RED SAF (sustainable aviation fuel) fob ARA range USD/t_midpoint,,,3255
05/01/2022,Soybean oil Argentina waterborne fob upriver USD/t month_midpoint,,,1345.7
05/01/2022,Soybean oil Argentina waterborne fob upriver USD/t month_midpoint_calc,Feedstocks,SBO fob Argentina,1228.158336
05/01/2022,Tallow (categories 1 & 2) fca northwest Europe EUR/t_midpoint,Feedstocks,Tallow Cat 1&2,925
05/01/2022,UCO (used cooking oil) cif ARA USD/t_midpoint,Feedstocks,UCO cif ARA,1190.161333
05/01/2022,UCO (used cooking oil) fob China_midpoint,Feedstocks,UCO fob China,1049.105175
05/01/2022,UCO (used cooking oil) RED bulk China fob_midpoint,Feedstocks,UCO bulk fob China,1119.633254
06/01/2022,Biodiesel FAME 0C CFPP RED ARA range barge fob_midpoint,Biodiesel,FAME 0 fob ARA,1369.126333
06/01/2022,Biodiesel Palm OME RED ARA range barge fob_midpoint,Biodiesel,PME fob ARA,1232.47818
06/01/2022,Biodiesel Rapeseed OME RED ARA range barge fob_midpoint,Biodiesel,RME fob ARA,1873.402098
06/01/2022,Biodiesel SME Argentina waterborne fob upriver_midpoint,Biodiesel,SME fob Argentina,1281.257163
06/01/2022,Biodiesel tallow OME RED ARA range barge fob_midpoint,Biodiesel,TME fob ARA,1659.393459
06/01/2022,Biodiesel UCOME (used cooking oil) RED ARA range barge fob_midpoint,Biodiesel,UCOME fob ARA,1690.249493
06/01/2022,Biodiesel UCOME (used cooking oil) RED bulk China fob_midpoint,Biodiesel,UCOME bulk fob China,1410.56158
06/01/2022,Biofuel soybean oil Argentina vs CBOT waterborne fob San Lorenzo_diff high,Feedstock Diff,Biofuel soybean oil Argentina vs CBOT waterborne fob San Lorenzo prompt diff high,48.59384643
06/01/2022,Biofuel soybean oil Argentina vs CBOT waterborne fob San Lorenzo_diff low,Feedstock Diff,Biofuel soybean oil Argentina vs CBOT waterborne fob San Lorenzo prompt diff low,19.43930177
06/01/2022,Biofuel soybean oil Argentina vs CBOT waterborne fob San Lorenzo_high low avg,,,38.585
06/01/2022,D-AAWGJ00,Biodiesel,SME fob ARA,1554.262541
06/01/2022,D-AAYWT00,MGO,MGO 0.1%,618.4430927
06/01/2022,Freight PME Malaysia - ARA 3-5kt_midpoint,Biodiesel,PME fob MY,114.6081284
06/01/2022,Gasoil NWE 7-28 day swaps_settlement,Biodiesel,Gasoil,625.7163008
06/01/2022,HVO (hydrotreated vegetable oil) fob ARA range (Class I) USD/t_midpoint,HVO & SAF,HVO (class I) fob ARA,2034.170854
06/01/2022,HVO (hydrotreated vegetable oil) fob ARA range (Class II) USD/t_midpoint,HVO & SAF,HVO (class II) fob ARA,2542.784096
06/01/2022,HVO (hydrotreated vegetable oil) fob ARA range (Class III) USD/t_midpoint,HVO & SAF,HVO (class III) fob ARA,2198.060478
06/01/2022,Palm oil futures Bursa Malaysia month_settlement,Feedstocks,Palm Oil futures,1050.119016
06/01/2022,Palm oil mill effluent (POME) oil RED ARA cif_midpoint,Feedstocks,POME cif ARA,1110.817244
06/01/2022,Palm oil mill effluent (POME) oil RED Malaysia/Indonesia fob_midpoint,,,1120
06/01/2022,Rapeseed oil fob Dutch Mill RSO_midpoint,Feedstocks,RSO fob Dutch Mill,1700
06/01/2022,RED SAF (sustainable aviation fuel) fob ARA range USD/t_midpoint,,,3265.5
06/01/2022,Soybean oil Argentina waterborne fob upriver USD/t month_midpoint,,,1326.08
06/01/2022,Soybean oil Argentina waterborne fob upriver USD/t month_midpoint_calc,Feedstocks,SBO fob Argentina,1203.090011
06/01/2022,Tallow (categories 1 & 2) fca northwest Europe EUR/t_midpoint,Feedstocks,Tallow Cat 1&2,920
06/01/2022,UCO (used cooking oil) cif ARA USD/t_midpoint,Feedstocks,UCO cif ARA,1198.977343
06/01/2022,UCO (used cooking oil) fob China_midpoint,Feedstocks,UCO fob China,1053.51318
06/01/2022,UCO (used cooking oil) RED bulk China fob_midpoint,Feedstocks,UCO bulk fob China,1119.633254
07/01/2022,Biodiesel FAME 0C CFPP RED ARA range barge fob_midpoint,Biodiesel,FAME 0 fob ARA,1392.047959
07/01/2022,Biodiesel Palm OME RED ARA range barge fob_midpoint,Biodiesel,PME fob ARA,1255.399806
07/01/2022,Biodiesel Rapeseed OME RED ARA range barge fob_midpoint,Biodiesel,RME fob ARA,1881.336507
07/01/2022,Biodiesel SME Argentina waterborne fob upriver_midpoint,Biodiesel,SME fob Argentina,1287.110994
07/01/2022,Biodiesel tallow OME RED ARA range barge fob_midpoint,Biodiesel,TME fob ARA,1682.606013
07/01/2022,Biodiesel UCOME (used cooking oil) RED ARA range barge fob_midpoint,Biodiesel,UCOME fob ARA,1713.462047
07/01/2022,Biodiesel UCOME (used cooking oil) RED bulk China fob_midpoint,Biodiesel,UCOME bulk fob China,1437.009609
07/01/2022,Biofuel soybean oil Argentina vs CBOT waterborne fob San Lorenzo_diff high,Feedstock Diff,Biofuel soybean oil Argentina vs CBOT waterborne fob San Lorenzo prompt diff high,38.86978753
07/01/2022,Biofuel soybean oil Argentina vs CBOT waterborne fob San Lorenzo_diff low,Feedstock Diff,Biofuel soybean oil Argentina vs CBOT waterborne fob San Lorenzo prompt diff low,19.43930177
07/01/2022,Biofuel soybean oil Argentina vs CBOT waterborne fob San Lorenzo_high low avg,,,33.07
07/01/2022,D-AAWGJ00,Biodiesel,SME fob ARA,1545.00573
07/01/2022,D-AAYWT00,MGO,MGO 0.1%,619.3246936
07/01/2022,Freight PME Malaysia - ARA 3-5kt_midpoint,Biodiesel,PME fob MY,105.7921185
07/01/2022,Gasoil NWE 7-28 day swaps_settlement,Biodiesel,Gasoil,625.2755003
07/01/2022,HVO (hydrotreated vegetable oil) fob ARA range (Class I) USD/t_midpoint,HVO & SAF,HVO (class I) fob ARA,2005.430662
07/01/2022,HVO (hydrotreated vegetable oil) fob ARA range (Class II) USD/t_midpoint,HVO & SAF,HVO (class II) fob ARA,2542.299215
07/01/2022,HVO (hydrotreated vegetable oil) fob ARA range (Class III) USD/t_midpoint,HVO & SAF,HVO (class III) fob ARA,2197.575597
07/01/2022,Palm oil futures Bursa Malaysia month_settlement,Feedstocks,Palm Oil futures,1044.644274
07/01/2022,Palm oil mill effluent (POME) oil RED ARA cif_midpoint,Feedstocks,POME cif ARA,1137.265274
07/01/2022,Palm oil mill effluent (POME) oil RED Malaysia/Indonesia fob_midpoint,,,1120
07/01/2022,Rapeseed oil fob Dutch Mill RSO_midpoint,Feedstocks,RSO fob Dutch Mill,1690
07/01/2022,RED SAF (sustainable aviation fuel) fob ARA range USD/t_midpoint,,,3285
07/01/2022,Soybean oil Argentina waterborne fob upriver USD/t month_midpoint,,,1322.335
07/01/2022,Soybean oil Argentina waterborne fob upriver USD/t month_midpoint_calc,Feedstocks,SBO fob Argentina,1194.926386
07/01/2022,Tallow (categories 1 & 2) fca northwest Europe EUR/t_midpoint,Feedstocks,Tallow Cat 1&2,920
07/01/2022,UCO (used cooking oil) cif ARA USD/t_midpoint,Feedstocks,UCO cif ARA,1207.793353
07/01/2022,UCO (used cooking oil) fob China_midpoint,Feedstocks,UCO fob China,1053.51318
07/01/2022,UCO (used cooking oil) RED bulk China fob_midpoint,Feedstocks,UCO bulk fob China,1119.633254
08/01/2022,Biodiesel FAME 0C CFPP RED ARA range barge fob_midpoint,Biodiesel,FAME 0 fob ARA,1392.047959
08/01/2022,Biodiesel Palm OME RED ARA range barge fob_midpoint,Biodiesel,PME fob ARA,1255.399806
08/01/2022,Biodiesel Rapeseed OME RED ARA range barge fob_midpoint,Biodiesel,RME fob ARA,1881.336507
08/01/2022,Biodiesel SME Argentina waterborne fob upriver_midpoint,Biodiesel,SME fob Argentina,1287.110994
08/01/2022,Biodiesel tallow OME RED ARA range barge fob_midpoint,Biodiesel,TME fob ARA,1682.606013
08/01/2022,Biodiesel UCOME (used cooking oil) RED ARA range barge fob_midpoint,Biodiesel,UCOME fob ARA,1713.462047
